OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141825231|37001020100|Census Tract 201|4511689|0|G5020|S|20740141825231|37001020100|Census Tract 201|4511689|0|G5020|S|4511689|0
20790141825226|37001020200|Census Tract 202|3464706|0|G5020|S|20740141825226|37001020200|Census Tract 202|3464706|0|G5020|S|3464706|0
2079015503362089|37001020301|Census Tract 203.01|4963841|62025|G5020|S|20740141825222|37001020300|Census Tract 203|11282707|222540|G5020|S|4963841|62025
2079015503362085|37001020302|Census Tract 203.02|6318866|141195|G5020|S|20740141825222|37001020300|Census Tract 203|11282707|222540|G5020|S|6318866|141195
20790141825219|37001020400|Census Tract 204|11558153|268108|G5020|S|20740141825219|37001020400|Census Tract 204|11558153|306967|G5020|S|11558153|268108
207903717524815|37001020501|Census Tract 205.01|7138142|78069|G5020|S|207403717524815|37001020501|Census Tract 205.01|7138142|78069|G5020|S|7138142|78069
207903717524801|37001020502|Census Tract 205.02|5421492|51238|G5020|S|207403717524801|37001020502|Census Tract 205.02|5421492|51238|G5020|S|5421492|51238
207903717524819|37001020601|Census Tract 206.01|5562699|31230|G5020|S|207403717524819|37001020601|Census Tract 206.01|5575845|31230|G5020|S|5562699|31230
207903717524802|37001020602|Census Tract 206.02|2786605|40195|G5020|S|207403717524802|37001020602|Census Tract 206.02|2786605|40195|G5020|S|2786605|40195
207903717524818|37001020701|Census Tract 207.01|6799372|16670|G5020|S|207403717524818|37001020701|Census Tract 207.01|6799372|16670|G5020|S|6799372|16670
207903717524823|37001020702|Census Tract 207.02|7572079|21301|G5020|S|207403717524823|37001020702|Census Tract 207.02|7572079|21301|G5020|S|7572079|21301
207903717524784|37001020801|Census Tract 208.01|11909863|138041|G5020|S|207403717524784|37001020801|Census Tract 208.01|11909958|138041|G5020|S|11909863|138041
207903717524773|37001020802|Census Tract 208.02|4723568|33037|G5020|S|207403717524773|37001020802|Census Tract 208.02|4731712|33037|G5020|S|4716578|33037
207903717524773|37001020802|Census Tract 208.02|4723568|33037|G5020|S|207403717524782|37001020901|Census Tract 209.01|7879971|75902|G5020|S|190|0
207903717524773|37001020802|Census Tract 208.02|4723568|33037|G5020|S|20740141825228|37001021000|Census Tract 210|3227662|0|G5020|S|6800|0
207903717524782|37001020901|Census Tract 209.01|7888527|75902|G5020|S|207403717524784|37001020801|Census Tract 208.01|11909958|138041|G5020|S|95|0
207903717524782|37001020901|Census Tract 209.01|7888527|75902|G5020|S|207403717524773|37001020802|Census Tract 208.02|4731712|33037|G5020|S|8651|0
207903717524782|37001020901|Census Tract 209.01|7888527|75902|G5020|S|207403717524782|37001020901|Census Tract 209.01|7879971|75902|G5020|S|7879781|75902
207903717524824|37001020902|Census Tract 209.02|10254637|206249|G5020|S|207403717524824|37001020902|Census Tract 209.02|10254637|206249|G5020|S|10254637|206249
20790141825228|37001021000|Census Tract 210|3227345|0|G5020|S|207403717524773|37001020802|Census Tract 208.02|4731712|33037|G5020|S|6483|0
20790141825228|37001021000|Census Tract 210|3227345|0|G5020|S|20740141825228|37001021000|Census Tract 210|3227662|0|G5020|S|3220862|0
207903717524821|37001021101|Census Tract 211.01|8040158|61504|G5020|S|207403717524821|37001021101|Census Tract 211.01|8074564|61504|G5020|S|8040158|61504
207903717524865|37001021102|Census Tract 211.02|10812872|210806|G5020|S|207403717524821|37001021101|Census Tract 211.01|8074564|61504|G5020|S|34406|0
207903717524865|37001021102|Census Tract 211.02|10812872|210806|G5020|S|207403717524865|37001021102|Census Tract 211.02|10778466|211100|G5020|S|10778466|210806
20790141825220|37001021201|Census Tract 212.01|35126252|2216798|G5020|S|20740141825222|37001020300|Census Tract 203|11282707|222540|G5020|S|0|19320
20790141825220|37001021201|Census Tract 212.01|35126252|2216798|G5020|S|20740141825220|37001021201|Census Tract 212.01|35126252|2197478|G5020|S|35126252|2197478
20790141825212|37001021204|Census Tract 212.04|33313915|328997|G5020|S|20740141825212|37001021204|Census Tract 212.04|33235817|327803|G5020|S|33235817|327803
20790141825212|37001021204|Census Tract 212.04|33313915|328997|G5020|S|20740141043596|37135011102|Census Tract 111.02|77583828|454570|G5020|S|54691|1194
20790141825212|37001021204|Census Tract 212.04|33313915|328997|G5020|S|20740141043580|37135011203|Census Tract 112.03|160136818|871340|G5020|S|23407|0
207903717524879|37001021205|Census Tract 212.05|11693697|90068|G5020|S|207403717524879|37001021205|Census Tract 212.05|11637479|90068|G5020|S|11631590|90068
207903717524879|37001021205|Census Tract 212.05|11693697|90068|G5020|S|20740141043522|37135011101|Census Tract 111.01|73360715|897886|G5020|S|30470|0
207903717524879|37001021205|Census Tract 212.05|11693697|90068|G5020|S|20740141043596|37135011102|Census Tract 111.02|77583828|454570|G5020|S|31637|0
207903717524867|37001021206|Census Tract 212.06|12943911|80012|G5020|S|207403717524867|37001021206|Census Tract 212.06|12943911|80012|G5020|S|12943911|80012
207903717524866|37001021207|Census Tract 212.07|11956023|863403|G5020|S|207403717524866|37001021207|Census Tract 212.07|11865157|863403|G5020|S|11863305|863403
207903717524866|37001021207|Census Tract 212.07|11956023|863403|G5020|S|20740141043522|37135011101|Census Tract 111.01|73360715|897886|G5020|S|92718|0
20790141825221|37001021300|Census Tract 213|135258628|3674293|G5020|S|20740141825221|37001021300|Census Tract 213|135453500|3675427|G5020|S|135251856|3674293
20790141825221|37001021300|Census Tract 213|135258628|3674293|G5020|S|20740141825217|37001021400|Census Tract 214|65385006|4520149|G5020|S|6772|0
20790141825217|37001021400|Census Tract 214|65186076|4520149|G5020|S|20740141825217|37001021400|Census Tract 214|65385006|4520149|G5020|S|65186076|4520149
20790141825218|37001021500|Census Tract 215|91578798|2199152|G5020|S|20740141825219|37001020400|Census Tract 204|11558153|306967|G5020|S|0|38859
20790141825218|37001021500|Census Tract 215|91578798|2199152|G5020|S|20740141825218|37001021500|Census Tract 215|91624469|2158202|G5020|S|91547406|2158202
20790141825218|37001021500|Census Tract 215|91578798|2199152|G5020|S|20740308398449|37033930500|Census Tract 9305|158657785|279565|G5020|S|31392|2091
20790141825216|37001021600|Census Tract 216|33246532|808389|G5020|S|20740141825216|37001021600|Census Tract 216|33256749|808389|G5020|S|33245658|808389
